Group,Model,Number of dead neuron,Fraction of Variance Unexplained (FVU),Normalized MAE,Cosine similarity,L0 measure,CKNNA,DO,Size,FMS,KL Divergence,AgreementAC,Intra-cluster Distance,Inter-cluster Distance,Separation Ratio
ReLUSAE-DINOv2,
ReLUSAE-DINOv2,
ReLUSAE-DINOv2,
ReLUSAE-DINOv2,8192_ReLU_003_dinov2_vitl14,0.0,0.0142,0.1228,0.993,0.50695,0.91,0.001059095375239849,16.8,0.660334,0.00547,98.23,0.4512,0.2727,0.6044
ReLUSAE-DINOv2,16384_ReLU_003_dinov2_vitl14,0.0,0.0099,0.102,0.995,0.57444,0.92,0.0011217370629310608,33.6,0.642105,0.00397,98.52,,,
ReLUSAE-DINOv2,32768_ReLU_003_dinov2_vitl14,0.0,0.0078,0.0889,0.997,0.64372,0.92,0.0011477121151983738,67.1,0.617262,0.00325,98.66,,,

TopKReLU_64-DINOv2,
TopKReLU_64-DINOv2,
TopKReLU_64-DINOv2,
TopKReLU_64-DINOv2,8192_TopKReLU_64_dinov2_vitl14,0.0,0.079,0.2896,0.96,0.99219,0.94,0.0013784253969788551,16.8,0.577898,0.03965,95.41,,,
TopKReLU_64-DINOv2,16384_TopKReLU_64_dinov2_vitl14,0.0,0.0723,0.2766,0.963,0.99609,0.92,0.0016302805161103606,33.6,0.569254,0.04865,95.05,,,
TopKReLU_64-DINOv2,32768_TopKReLU_64_dinov2_vitl14,0.0,0.0689,0.2694,0.965,0.99805,0.9,0.0014612633967772126,67.1,0.575455,0.07245,94.16,,,

TopKReLU_256-DINOv2,
TopKReLU_256-DINOv2,
TopKReLU_256-DINOv2,
TopKReLU_256-DINOv2,8192_TopKReLU_256_dinov2_vitl14,0.0,0.0597,0.251,0.97,0.96875,0.94,0.0012259336654096842,16.8,0.612943,0.02158,96.51,,,
TopKReLU_256-DINOv2,16384_TopKReLU_256_dinov2_vitl14,0.0,0.049,0.2272,0.975,0.98438,0.93,0.0014269942184910178,33.6,0.592248,0.03212,96.03,,,
TopKReLU_256-DINOv2,32768_TopKReLU_256_dinov2_vitl14,0.0,0.0453,0.2181,0.977,0.99219,0.93,0.0014353172155097127,67.1,0.604804,0.05068,95.21,,,

BatchTop_64-DINOv2,
BatchTop_64-DINOv2,
BatchTop_64-DINOv2,
BatchTop_64-DINOv2,8192_TopKReLU_64_dinov2_vitl14,0.0,0.079,0.2896,0.96,0.99219,0.94,0.0013784253969788551,16.8,0.577898,0.03965,95.41,,,
BatchTop_64-DINOv2,16384_TopKReLU_64_dinov2_vitl14,0.0,0.0723,0.2766,0.963,0.99609,0.92,0.0016302805161103606,33.6,0.569254,0.04865,95.05,,,
BatchTop_64-DINOv2,32768_TopKReLU_64_dinov2_vitl14,0.0,0.0689,0.2694,0.965,0.99805,0.9,0.0014612633967772126,67.1,0.575455,0.07245,94.16,,,

BatchTop_256-DINOv2,
BatchTop_256-DINOv2,
BatchTop_256-DINOv2,
BatchTop_256-DINOv2,8192_TopKReLU_256_dinov2_vitl14,0.0,0.0597,0.251,0.97,0.96875,0.94,0.0012259336654096842,16.8,0.612943,0.02158,96.51,,,
BatchTop_256-DINOv2,16384_TopKReLU_256_dinov2_vitl14,0.0,0.049,0.2272,0.975,0.98438,0.93,0.0014269942184910178,33.6,0.592248,0.03212,96.03,,,
BatchTop_256-DINOv2,32768_TopKReLU_256_dinov2_vitl14,0.0,0.0453,0.2181,0.977,0.99219,0.93,0.0014353172155097127,67.1,0.604804,0.05068,95.21,,,

MSAE_RW-DINOv2,
MSAE_RW-DINOv2,
MSAE_RW-DINOv2,
MSAE_RW-DINOv2,8192_TopKReLU_64_RW_dinov2_vitl14_train.pth,0.0,0.1463,0.3933,0.924,0.99219,0.95,x,16.8,0.575253,0.03252,95.82,,,
MSAE_RW-DINOv2,16384_TopKReLU_64_RW_dinov2_vitl14_train.pth,0.0,0.1221,0.3594,0.937,0.99609,0.94,x,33.6,0.566543,0.03321,95.97,,,
MSAE_RW-DINOv2,32768_TopKReLU_64_RW_dinov2_vitl14_train.pth,0.0,0.102,0.3289,0.948,0.99805,0.94,x,67.1,0.596819,0.03812,95.9,,,

MSAE_UW-DINOv2,
MSAE_UW-DINOv2,
MSAE_UW-DINOv2,
MSAE_UW-DINOv2,8192_TopKReLU_64_UW_dinov2_vitl14_train.pth,0.0,0.1527,0.4021,0.921,0.99219,0.94,x,16.8,0.583867,0.0287,96.18,,,
MSAE_UW-DINOv2,16384_TopKReLU_64_UW_dinov2_vitl14_train.pth,0.0,0.1283,0.3686,0.934,0.99609,0.94,x,33.6,0.58437,0.03078,96.05,,,
MSAE_UW-DINOv2,32768_TopKReLU_64_UW_dinov2_vitl14_train.pth,0.0,0.107,0.3369,0.946,0.99805,0.94,x,67.1,0.604844,0.03771,95.93,,,

ReLUSAE-VIT,768_768_ReLU_003_vit_b_16,0,0.0439,0.2289,0.978,0.29868,0.3,0.00095474,1.0
ReLUSAE-VIT,1536_768_ReLU_003_vit_b_16,0,0.0221,0.1613,0.989,0.38052,0.54,0.00114415,2.0
ReLUSAE-VIT,3072_768_ReLU_003_vit_b_16,0,0.0129,0.1228,0.994,0.4747,0.76,0.00130845,4.0
ReLUSAE-VIT,6144_ReLU_003_vit_b_16,0.0,0.0074,0.0923,0.996,0.52402,0.76,0.0014284647768363357,9.4,0.656781,0.00449,98.17,0.4305,0.2703,0.6278
ReLUSAE-VIT,12288_ReLU_003_vit_b_16,0.0,0.0049,0.0757,0.998,0.57542,0.74,0.001511043170467019,18.9,0.640361,0.00318,98.48,0.4313,0.2705,0.6272
ReLUSAE-VIT,24576_ReLU_003_vit_b_16,0.0,0.004,0.0678,0.998,0.62993,0.72,0.0015228834236040711,37.8,0.623014,0.00274,98.61,0.4312,0.2714,0.6293

TopKReLU_64-VIT,768_TopKReLU_64_vit_b_16,0,0.0831,0.2989,0.957,0.91667,0.72,0.00152609,1.0
TopKReLU_64-VIT,1536_TopKReLU_64_vit_b_16,0,0.0606,0.2501,0.969,0.95833,0.7,0.00175954,2.0
TopKReLU_64-VIT,3072_TopKReLU_64_vit_b_16,0,0.0423,0.2081,0.978,0.97917,0.68,0.00196363,4.0
TopKReLU_64-VIT,6144_TopKReLU_64_vit_b_16,0.0,0.0323,0.1818,0.984,0.98958,0.69,0.0020569018088281155,9.4,0.622705,0.04058,94.59,0.3873,0.2857,0.7377
TopKReLU_64-VIT,12288_TopKReLU_64_vit_b_16,0.0,0.0284,0.1705,0.986,0.99479,0.69,0.0018862863071262836,18.9,0.624872,0.06862,93.52,0.3838,0.2869,0.7476
TopKReLU_64-VIT,24576_TopKReLU_64_vit_b_16,0.0,0.0269,0.1656,0.986,0.9974,0.7,0.0016524001257494092,37.8,0.636392,0.09308,92.62,0.3837,0.2868,0.7473

TopKReLU_256-VIT,768_TopKReLU_256_vit_b_16,0,0.0371,0.2028,0.981,0.66667,0.66,0.00113237,1.0
TopKReLU_256-VIT,1536_TopKReLU_256_vit_b_16,0,0.0319,0.1851,0.984,0.83333,0.66,0.00152113,2.0
TopKReLU_256-VIT,3072_TopKReLU_256_vit_b_16,0,0.0275,0.17,0.986,0.91667,0.74,0.00170414,4.0
TopKReLU_256-VIT,6144_TopKReLU_256_vit_b_16,0.0,0.0229,0.154,0.988,0.95833,0.75,0.001855141599662602,9.4,0.614015,0.01501,96.72,0.4024,0.2796,0.6948
TopKReLU_256-VIT,12288_TopKReLU_256_vit_b_16,0.0,0.0182,0.1374,0.991,0.97917,0.74,0.00185122259426862,18.9,0.596019,0.02266,96.17,0.392,0.2837,0.7238
TopKReLU_256-VIT,24576_TopKReLU_256_vit_b_16,0.0,0.0154,0.1261,0.992,0.98958,0.75,0.0016763773746788502,37.8,0.602289,0.03133,95.66,0.3855,0.2857,0.7411


BatchTop_64-VIT,768_TopKReLU_256_vit_b_16,0,0.0831,0.2989,0.957,0.91667,0.72,0.00152609,1.0
BatchTop_64-VIT,1536_TopKReLU_256_vit_b_16,0,0.0606,0.2501,0.969,0.95833,0.7,0.00175954,2.0
BatchTop_64-VIT,3072_TopKReLU_256_vit_b_16,0,0.0423,0.2081,0.978,0.97917,0.68,0.00196363,4.0
BatchTop_64-VIT,6144_TopKReLU_64_vit_b_16,0.0,0.0323,0.1818,0.984,0.98958,0.69,0.0020569018088281155,9.4,0.622705,0.04058,94.59,,,
BatchTop_64-VIT,12288_TopKReLU_64_vit_b_16,0.0,0.0284,0.1705,0.986,0.99479,0.69,0.0018862863071262836,18.9,0.624872,0.06862,93.52,,,
BatchTop_64-VIT,24576_TopKReLU_64_vit_b_16,0.0,0.0269,0.1656,0.986,0.9974,0.7,0.0016524001257494092,37.8,0.636392,0.09308,92.62,,,


BatchTop_256-VIT,768_TopKReLU_256_vit_b_16,0,0.0371,0.2028,0.981,0.66667,0.66,0.00113237,1.0
BatchTop_256-VIT,1536_TopKReLU_256_vit_b_16,0,0.0319,0.1851,0.984,0.83333,0.66,0.00152113,2.0
BatchTop_256-VIT,3072_TopKReLU_256_vit_b_16,0,0.0275,0.17,0.986,0.91667,0.74,0.00170414,4.0
BatchTop_256-VIT,6144_TopKReLU_256_vit_b_16,0.0,0.0229,0.154,0.988,0.95833,0.75,0.001855141599662602,9.4,0.614015,0.01501,96.72,,,
BatchTop_256-VIT,12288_TopKReLU_256_vit_b_16,0.0,0.0182,0.1374,0.991,0.97917,0.74,0.00185122259426862,18.9,0.596019,0.02266,96.17,0.392,0.2837,0.7238
BatchTop_256-VIT,24576_TopKReLU_256_vit_b_16,0.0,0.0154,0.1261,0.992,0.98958,0.75,0.0016763773746788502,37.8,0.602289,0.03133,95.66,,,

