Name,DeadNeuron,Fraction of Variance Unexplained (FVU),Normalized MAE,Cosine similarity,L0 measure,CKNNA,DO,Size
768_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0831,0.2989,0.957,0.91667,0.72,0.00152609,1.0
3072_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0423,0.2081,0.978,0.97917,0.68,0.00196363,5.0
1536_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0606,0.2501,0.969,0.95833,0.7,0.00175954,2.0
1024_1024_ReLU_003_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,95,7.722592e+16,4367737300.0,-0.006,0.09277,0.0,0.00029037,2.0
2048_1024_ReLU_003_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,579,4.7070643e+16,3496759000.0,0.01,0.28271,0.0,0.00068669,4.0
4096_1024_ReLU_003_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,1882,4.1944015e+16,3283550500.0,0.002,0.45947,0.0,0.00093892,8.0
1024_1024_TopKReLU_64_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,900,2.4619608e+17,5993129000.0,0.006,0.9375,0.0,0.00103463,2.0
2048_1024_TopKReLU_64_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,1869,2.287919e+17,5565391400.0,-0.0,0.96875,0.0,0.00117952,4.0
4096_1024_TopKReLU_64_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,3822,2.2627977e+17,5883653000.0,-0.002,0.98438,0.0,0.0011996,8.0
1024_1024_TopKReLU_256_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,397,1.855503e+17,6997736400.0,-0.007,0.75,0.0,0.00039609,2.0
2048_1024_TopKReLU_256_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,1453,1.6523432e+17,5911399000.0,0.005,0.875,0.0,0.00088025,4.0
4096_1024_TopKReLU_256_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,3464,1.7626396e+17,5925271000.0,0.003,0.9375,0.0,0.0010905,8.0
1024_1024_TopKReLU_64_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainhbatchtopk,900,2.4619608e+17,5993129000.0,0.006,0.9375,0.0,0.00103463,2.0
2048_1024_TopKReLU_64_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainhbatchtopk,1869,2.287919e+17,5565391400.0,-0.0,0.96875,0.0,0.00117952,4.0
4096_1024_TopKReLU_64_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainhbatchtopk,3822,2.2627977e+17,5883653000.0,-0.002,0.98438,0.0,0.0011996,8.0
1024_1024_TopKReLU_256_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainhbatchtopk,397,1.855503e+17,6997736400.0,-0.007,0.75,0.0,0.00039609,2.0
2048_1024_TopKReLU_256_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainhbatchtopk,1453,1.6523432e+17,5911399000.0,0.005,0.875,0.0,0.00088025,4.0
4096_1024_TopKReLU_256_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainhbatchtopk,3464,1.7626396e+17,5925271000.0,0.003,0.9375,0.0,0.0010905,8.0
1024_1024_TopKReLU_64_RW_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,484,2.5351443e+17,6961838600.0,0.01,0.9375,0.0,0.00080931,2.0
2048_1024_TopKReLU_64_RW_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,1440,2.2942138e+17,5996489700.0,-0.002,0.96875,0.0,0.00103917,4.0
4096_1024_TopKReLU_64_RW_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,3400,2.2585024e+17,5584232000.0,-0.0,0.98438,0.0,0.00114692,8.0
1024_1024_TopKReLU_64_UW_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,466,2.5035272e+17,7193633300.0,0.005,0.9375,0.0,0.000753,2.0
2048_1024_TopKReLU_64_UW_False_False_0.0_imagenet_dinov2_vitl14_embeddings_trainh,1354,2.309664e+17,6118261000.0,-0.002,0.96875,0.0,0.0009888,4.0
768_768_ReLU_003_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0439,0.2289,0.978,0.29868,0.3,0.00095474,1.0
1536_768_ReLU_003_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0221,0.1613,0.989,0.38052,0.54,0.00114415,2.0
3072_768_ReLU_003_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0129,0.1228,0.994,0.4747,0.76,0.00130845,5.0
768_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0831,0.2989,0.957,0.91667,0.72,0.00152609,1.0
1536_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0606,0.2501,0.969,0.95833,0.7,0.00175954,2.0
3072_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0423,0.2081,0.978,0.97917,0.68,0.00196363,5.0
768_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0371,0.2028,0.981,0.66667,0.66,0.00113237,1.0
1536_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0319,0.1851,0.984,0.83333,0.66,0.00152113,2.0
3072_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0275,0.17,0.986,0.91667,0.74,0.00170414,5.0
768_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0831,0.2989,0.957,0.91667,0.72,0.00152609,1.0
1536_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0606,0.2501,0.969,0.95833,0.7,0.00175954,2.0
3072_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0423,0.2081,0.978,0.97917,0.68,0.00196363,5.0
768_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0371,0.2028,0.981,0.66667,0.66,0.00113237,1.0
1536_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0319,0.1851,0.984,0.83333,0.66,0.00152113,2.0
3072_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0275,0.17,0.986,0.91667,0.74,0.00170414,5.0
768_768_TopKReLU_64_RW_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.1067,0.3474,0.945,0.91667,0.73,0.00156395,1.0
768_768_ReLU_003_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0439,0.2289,0.978,0.29868,0.3,0.00095474,1.0
1536_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0606,0.2501,0.969,0.95833,0.7,0.00175954,2.0
3072_768_TopKReLU_64_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0423,0.2081,0.978,0.97917,0.68,0.00196363,5.0
768_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0371,0.2028,0.981,0.66667,0.66,0.00113237,1.0
1536_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0319,0.1851,0.984,0.83333,0.66,0.00152113,2.0
3072_768_TopKReLU_256_False_False_0.0_imagenet_vit_b_16_embeddings_trainhbatchtopk,0,0.0275,0.17,0.986,0.91667,0.74,0.00170414,5.0
768_768_TopKReLU_64_RW_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.1067,0.3474,0.945,0.91667,0.73,0.00156395,1.0
1536_768_TopKReLU_64_RW_False_False_0.0_imagenet_vit_b_16_embeddings_trainh,0,0.0874,0.3073,0.955,0.95833,0.71,0.00154635,2.0
